method,model_key,length,setting,auc,tpr_at_5fpr
Min-K%,pythia410m,32,original,0.5666,0.1008
PPL,pythia410m,32,original,0.5732,0.1085
Zlib,pythia410m,32,original,0.5913,0.1189
Lowercase,pythia410m,32,original,0.5702,0.0543
Neighbor,pythia410m,32,original,0.5131,0.0465
Min-K%,pythia410m,32,paraphrase,0.5275,0.0853
PPL,pythia410m,32,paraphrase,0.5628,0.1008
Zlib,pythia410m,32,paraphrase,0.5672,0.1034
Lowercase,pythia410m,32,paraphrase,0.5469,0.0543
Neighbor,pythia410m,32,paraphrase,0.5534,0.0749
Min-K%,pythia410m,64,original,0.8125,0.75
Min-K%,pythia410m,64,paraphrase,0.5276,0.0739
PPL,pythia410m,64,paraphrase,0.5562,0.088
Zlib,pythia410m,64,paraphrase,0.5747,0.0423
Lowercase,pythia410m,64,paraphrase,0.5365,0.0599
Neighbor,pythia410m,64,paraphrase,0.5272,0.0704
Min-K%,pythia410m,128,original,0.612,0.0791
PPL,pythia410m,128,original,0.596,0.0863
Zlib,pythia410m,128,original,0.6247,0.1295
Lowercase,pythia410m,128,original,0.5477,0.0576
Neighbor,pythia410m,128,original,0.5039,0.0288
Min-K%,pythia410m,128,paraphrase,0.5748,0.1367
PPL,pythia410m,128,paraphrase,0.5842,0.1223
Zlib,pythia410m,128,paraphrase,0.5583,0.1727
Lowercase,pythia410m,128,paraphrase,0.5461,0.036
Neighbor,pythia410m,128,paraphrase,0.5274,0.0504
Min-K%,pythia410m,256,original,0.6281,0.0392
PPL,pythia410m,256,original,0.6047,0.0392
Zlib,pythia410m,256,original,0.6401,0.1765
Lowercase,pythia410m,256,original,0.5433,0.0196
Neighbor,pythia410m,256,original,0.5769,0.0196
Min-K%,pythia410m,256,paraphrase,0.7084,0.1176
PPL,pythia410m,256,paraphrase,0.6799,0.098
Zlib,pythia410m,256,paraphrase,0.6565,0.2353
Lowercase,pythia410m,256,paraphrase,0.5661,0.098
Neighbor,pythia410m,256,paraphrase,0.5459,0.0
Min-K%,pythia2.8b,32,original,0.6165,0.1783
PPL,pythia2.8b,32,original,0.6136,0.1473
Zlib,pythia2.8b,32,original,0.6214,0.1576
Lowercase,pythia2.8b,32,original,0.5838,0.0956
Neighbor,pythia2.8b,32,original,0.5339,0.0698
Smaller Ref,pythia2.8b,32,original,0.6111,0.0646
Min-K%,pythia2.8b,32,paraphrase,0.5718,0.1034
PPL,pythia2.8b,32,paraphrase,0.6011,0.093
Zlib,pythia2.8b,32,paraphrase,0.5998,0.1034
Lowercase,pythia2.8b,32,paraphrase,0.5564,0.0594
Neighbor,pythia2.8b,32,paraphrase,0.561,0.0956
Smaller Ref,pythia2.8b,32,paraphrase,0.5775,0.0749
Min-K%,pythia2.8b,64,original,0.6067,0.1444
PPL,pythia2.8b,64,original,0.5845,0.1021
Zlib,pythia2.8b,64,original,0.6054,0.1444
Lowercase,pythia2.8b,64,original,0.5622,0.0704
Neighbor,pythia2.8b,64,original,0.5478,0.0493
Smaller Ref,pythia2.8b,64,original,0.5971,0.1021
Min-K%,pythia2.8b,64,paraphrase,0.5824,0.1162
PPL,pythia2.8b,64,paraphrase,0.6036,0.1408
Zlib,pythia2.8b,64,paraphrase,0.6137,0.1232
Lowercase,pythia2.8b,64,paraphrase,0.544,0.0775
Neighbor,pythia2.8b,64,paraphrase,0.5589,0.1092
Smaller Ref,pythia2.8b,64,paraphrase,0.6055,0.1408
Min-K%,pythia2.8b,128,original,0.6699,0.1367
PPL,pythia2.8b,128,original,0.6286,0.0935
Zlib,pythia2.8b,128,original,0.65,0.1871
Lowercase,pythia2.8b,128,original,0.5704,0.0719
Neighbor,pythia2.8b,128,original,0.4959,0.0432
Smaller Ref,pythia2.8b,128,original,0.5986,0.1007
Min-K%,pythia2.8b,128,paraphrase,0.6192,0.1295
PPL,pythia2.8b,128,paraphrase,0.631,0.2086
Zlib,pythia2.8b,128,paraphrase,0.6032,0.2086
Lowercase,pythia2.8b,128,paraphrase,0.5502,0.0647
Neighbor,pythia2.8b,128,paraphrase,0.5359,0.0935
Smaller Ref,pythia2.8b,128,paraphrase,0.6226,0.1151
Min-K%,pythia2.8b,256,original,0.6996,0.0588
PPL,pythia2.8b,256,original,0.6781,0.0392
Zlib,pythia2.8b,256,original,0.6926,0.1961
Lowercase,pythia2.8b,256,original,0.611,0.0392
Neighbor,pythia2.8b,256,original,0.5395,0.0392
Smaller Ref,pythia2.8b,256,original,0.6338,0.0392
Min-K%,pythia2.8b,256,paraphrase,0.7508,0.2549
PPL,pythia2.8b,256,paraphrase,0.7394,0.3529
Zlib,pythia2.8b,256,paraphrase,0.7242,0.3529
Lowercase,pythia2.8b,256,paraphrase,0.6066,0.0392
Neighbor,pythia2.8b,256,paraphrase,0.537,0.0
Smaller Ref,pythia2.8b,256,paraphrase,0.6673,0.098
Min-K%,gptneo1.3b,32,original,0.6212,0.186
PPL,gptneo1.3b,32,original,0.6047,0.1395
Zlib,gptneo1.3b,32,original,0.6155,0.1421
Lowercase,gptneo1.3b,32,original,0.5928,0.062
Neighbor,gptneo1.3b,32,original,0.5211,0.0594
Smaller Ref,gptneo1.3b,32,original,0.5905,0.0672
Min-K%,gptneo1.3b,32,paraphrase,0.57,0.1137
PPL,gptneo1.3b,32,paraphrase,0.5908,0.1137
Zlib,gptneo1.3b,32,paraphrase,0.5908,0.1137
Lowercase,gptneo1.3b,32,paraphrase,0.5644,0.0594
Neighbor,gptneo1.3b,32,paraphrase,0.5444,0.0775
Smaller Ref,gptneo1.3b,32,paraphrase,0.5581,0.0465
Min-K%,gptneo1.3b,64,original,0.6114,0.1655
PPL,gptneo1.3b,64,original,0.5776,0.1479
Zlib,gptneo1.3b,64,original,0.6042,0.1514
Lowercase,gptneo1.3b,64,original,0.5655,0.1268
Neighbor,gptneo1.3b,64,original,0.5342,0.0493
Smaller Ref,gptneo1.3b,64,original,0.5688,0.0704
Min-K%,gptneo1.3b,64,paraphrase,0.5707,0.1127
PPL,gptneo1.3b,64,paraphrase,0.5865,0.1021
Zlib,gptneo1.3b,64,paraphrase,0.5984,0.0951
Lowercase,gptneo1.3b,64,paraphrase,0.5604,0.0951
Neighbor,gptneo1.3b,64,paraphrase,0.5383,0.0775
Smaller Ref,gptneo1.3b,64,paraphrase,0.5859,0.1056
Min-K%,gptneo1.3b,128,original,0.6461,0.0791
PPL,gptneo1.3b,128,original,0.6254,0.0719
Zlib,gptneo1.3b,128,original,0.653,0.1223
Lowercase,gptneo1.3b,128,original,0.5816,0.1223
Neighbor,gptneo1.3b,128,original,0.4867,0.036
Smaller Ref,gptneo1.3b,128,original,0.5728,0.0791
Min-K%,gptneo1.3b,128,paraphrase,0.615,0.1295
PPL,gptneo1.3b,128,paraphrase,0.6193,0.1799
Zlib,gptneo1.3b,128,paraphrase,0.5849,0.1511
Lowercase,gptneo1.3b,128,paraphrase,0.5728,0.0863
Neighbor,gptneo1.3b,128,paraphrase,0.5264,0.0432
Smaller Ref,gptneo1.3b,128,paraphrase,0.5771,0.0935
Min-K%,gptneo1.3b,256,original,0.6629,0.0588
PPL,gptneo1.3b,256,original,0.6515,0.0392
Zlib,gptneo1.3b,256,original,0.6629,0.1765
Lowercase,gptneo1.3b,256,original,0.5794,0.0196
Neighbor,gptneo1.3b,256,original,0.5345,0.0
Smaller Ref,gptneo1.3b,256,original,0.575,0.0588
Min-K%,gptneo1.3b,256,paraphrase,0.754,0.3922
PPL,gptneo1.3b,256,paraphrase,0.7369,0.4118
Zlib,gptneo1.3b,256,paraphrase,0.7015,0.3333
Lowercase,gptneo1.3b,256,paraphrase,0.6135,0.0784
Neighbor,gptneo1.3b,256,paraphrase,0.5345,0.0
Smaller Ref,gptneo1.3b,256,paraphrase,0.5984,0.0392
Min-K%,opt1.3b,32,original,0.5807,0.1137
PPL,opt1.3b,32,original,0.5761,0.0904
Zlib,opt1.3b,32,original,0.5897,0.1034
Lowercase,opt1.3b,32,original,0.5698,0.0413
Neighbor,opt1.3b,32,original,0.4942,0.0775
Smaller Ref,opt1.3b,32,original,0.6083,0.0801
Min-K%,opt1.3b,32,paraphrase,0.5492,0.1034
PPL,opt1.3b,32,paraphrase,0.5728,0.0853
Zlib,opt1.3b,32,paraphrase,0.5762,0.0956
Lowercase,opt1.3b,32,paraphrase,0.5407,0.0362
Neighbor,opt1.3b,32,paraphrase,0.5189,0.0465
Smaller Ref,opt1.3b,32,paraphrase,0.5839,0.0465
Min-K%,opt1.3b,64,original,0.5667,0.1056
PPL,opt1.3b,64,original,0.5393,0.1021
Zlib,opt1.3b,64,original,0.5707,0.0915
Lowercase,opt1.3b,64,original,0.5496,0.0704
Neighbor,opt1.3b,64,original,0.499,0.0387
